
Predictions were generated on 18-Feb-2025 at 21:38:06 using FAST.Farm, compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm              input       - file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	YawErrT1            	RtSkewT1            	AziSkewT1           	RtSkewFiltT1        	AziSkewFiltT1       	RtGamCurlT1         	RtVAmbFiltT1        	RtCtAvgT1           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
(s)                 	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	INVALID      	(m/s)        	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          
   60.5000	 6.789E+00	-3.139E+01	 3.210E+01	-1.144E+01	 3.047E+01	-1.291E+01	 0.000E+00	 6.797E+00	 0.000E+00	 8.702E-01	 4.750E-01	-1.306E-01	 8.305E+01	-7.738E+00	 9.269E+01
   63.2500	 6.810E+00	-2.959E+01	 3.052E+01	-1.349E+01	 3.094E+01	-1.248E+01	 0.000E+00	 6.795E+00	 0.000E+00	 8.704E-01	 4.744E-01	-1.315E-01	 8.288E+01	-7.557E+00	 9.276E+01
   66.0000	 6.799E+00	-2.858E+01	 2.963E+01	-1.462E+01	 3.082E+01	-1.277E+01	 0.000E+00	 6.799E+00	 0.000E+00	 8.705E-01	 4.742E-01	-1.322E-01	 8.267E+01	-7.464E+00	 9.265E+01
   68.7500	 6.789E+00	-2.767E+01	 2.906E+01	-1.714E+01	 3.047E+01	-1.331E+01	 0.000E+00	 6.799E+00	 0.000E+00	 8.704E-01	 4.742E-01	-1.324E-01	 8.237E+01	-7.163E+00	 9.261E+01
   71.5000	 6.792E+00	-2.738E+01	 2.829E+01	-1.400E+01	 3.006E+01	-1.443E+01	 0.000E+00	 6.796E+00	 0.000E+00	 8.703E-01	 4.745E-01	-1.320E-01	 8.203E+01	-6.852E+00	 9.246E+01
   74.2500	 6.771E+00	-2.844E+01	 2.926E+01	-1.296E+01	 2.954E+01	-1.431E+01	 0.000E+00	 6.795E+00	 0.000E+00	 8.701E-01	 4.749E-01	-1.321E-01	 8.172E+01	-6.453E+00	 9.251E+01
   77.0000	 6.783E+00	-2.859E+01	 2.921E+01	-1.137E+01	 2.946E+01	-1.391E+01	 0.000E+00	 6.788E+00	 0.000E+00	 8.697E-01	 4.754E-01	-1.328E-01	 8.144E+01	-6.038E+00	 9.255E+01
   79.7500	 6.745E+00	-3.047E+01	 3.119E+01	-1.172E+01	 2.939E+01	-1.317E+01	 0.000E+00	 6.787E+00	 0.000E+00	 8.692E-01	 4.762E-01	-1.330E-01	 8.139E+01	-5.992E+00	 9.270E+01
   82.5000	 6.792E+00	-3.001E+01	 3.107E+01	-1.433E+01	 2.991E+01	-1.275E+01	 0.000E+00	 6.775E+00	 0.000E+00	 8.687E-01	 4.771E-01	-1.331E-01	 8.128E+01	-5.773E+00	 9.266E+01
   85.2500	 6.754E+00	-3.069E+01	 3.175E+01	-1.411E+01	 3.025E+01	-1.321E+01	 0.000E+00	 6.780E+00	 0.000E+00	 8.681E-01	 4.781E-01	-1.333E-01	 8.142E+01	-5.960E+00	 9.256E+01
